group	node	label	row.number
1	6	Akha	33
1	6	Akha	410
2	7	Akha	85
2	7	Akha	414
3	8	Akha	596
3	8	Akha	772
4	16	Akha	575
4	16	Akha	1057
5	20	Lahu	572
5	20	Thai	578
5	20	Burmese	587
5	20	Lahu	602
5	20	Thai	629
5	20	Lahu	634
5	20	Lahu	637
5	20	Lahu	650
5	20	Lahu	653
5	20	Lahu	658
5	20	Lahu	663
5	20	Lahu	666
5	20	Lahu	669
5	20	missing	678
5	20	Khmu	687
5	20	Chinese	722
5	20	Lahu	730
5	20	Lahu	735
5	20	missing	740
5	20	Lahu	742
5	20	Lahu	744
5	20	Lahu	753
5	20	Lahu	757
5	20	Lahu	763
5	20	Lahu	777
5	20	Lahu	778
5	20	Akha	788
5	20	Hmong	789
5	20	Lahu	792
5	20	Lahu	848
5	20	Lahu	872
5	20	Lahu	881
5	20	Lahu	891
5	20	Khmu	912
5	20	Lahu	923
5	20	Thai	943
5	20	Akha	962
5	20	Lahu	993
5	20	Lahu	995
5	20	Lahu	1040
5	20	Akha	1048
5	20	Lahu	1068
6	21	missing	831
6	21	Thai	1054
7	22	Lahu	709
7	22	Lahu	1067
8	23	Hmong	21
8	23	Hmong	171
8	23	Hmong	257
8	23	Hmong	294
8	23	Hmong	384
8	23	Hmong	470
8	23	Hmong	499
8	23	Hmong	682
8	23	Hmong	974
8	23	Hmong	1015
8	23	Thai	1262
9	24	Akha	23
9	24	Lahu	821
9	24	Lahu	867
10	26	Lahu	64
10	26	Lahu	206
11	27	Thai	2
11	27	Thai	3
11	27	Thai	5
11	27	Thai	6
11	27	Thai	10
11	27	Thai	11
11	27	Thai	15
11	27	Thai	18
11	27	Thai	20
11	27	Thai	22
11	27	Thai	24
11	27	Thai	27
11	27	Thai	28
11	27	Thai	29
11	27	Thai	32
11	27	Thai	35
11	27	Thai	36
11	27	Thai	37
11	27	Thai	38
11	27	Thai	39
11	27	Thai	40
11	27	Thai	42
11	27	Thai	43
11	27	Thai	48
11	27	Thai	50
11	27	Thai	52
11	27	Thai	54
11	27	Thai	56
11	27	Thai	58
11	27	Thai	59
11	27	Thai	61
11	27	Thai	65
11	27	Thai	66
11	27	Thai	67
11	27	Thai	68
11	27	Thai	69
11	27	Thai	70
11	27	Thai	71
11	27	Thai	72
11	27	Thai	74
11	27	Thai	76
11	27	Thai	77
11	27	Thai	78
11	27	Thai	79
11	27	Thai	87
11	27	Thai	89
11	27	Thai	90
11	27	Thai	91
11	27	Thai	93
11	27	Thai	94
11	27	Thai	97
11	27	Thai	98
11	27	Thai	99
11	27	Thai	101
11	27	Thai	102
11	27	Thai	106
11	27	TaiLue_TaiYai	109
11	27	Thai	111
11	27	Thai	113
11	27	Thai	115
11	27	Thai	116
11	27	Thai	117
11	27	Thai	120
11	27	Thai	122
11	27	Thai	123
11	27	Thai	124
11	27	Thai	126
11	27	Thai	127
11	27	Thai	128
11	27	Thai	129
11	27	Thai	132
11	27	Thai	134
11	27	Thai	137
11	27	Thai	138
11	27	Thai	139
11	27	Thai	140
11	27	Thai	141
11	27	Thai	142
11	27	Thai	144
11	27	Thai	146
11	27	Thai	147
11	27	Thai	148
11	27	Thai	149
11	27	Thai	150
11	27	Thai	153
11	27	Thai	154
11	27	Thai	158
11	27	Thai	159
11	27	Thai	160
11	27	Thai	161
11	27	Thai	164
11	27	Thai	165
11	27	Thai	166
11	27	Thai	167
11	27	Thai	168
11	27	Thai	170
11	27	Thai	172
11	27	Thai	173
11	27	Thai	175
11	27	Thai	176
11	27	Thai	177
11	27	Thai	179
11	27	Thai	181
11	27	Thai	184
11	27	Thai	186
11	27	Thai	187
11	27	Thai	189
11	27	Thai	192
11	27	Thai	193
11	27	Thai	196
11	27	Thai	200
11	27	Thai	201
11	27	Thai	207
11	27	Thai	208
11	27	Thai	209
11	27	Thai	210
11	27	Thai	211
11	27	Thai	218
11	27	Thai	220
11	27	Thai	221
11	27	Thai	222
11	27	Thai	224
11	27	Thai	225
11	27	Thai	226
11	27	Burmese	227
11	27	Thai	228
11	27	Thai	229
11	27	Thai	232
11	27	Thai	233
11	27	TaiLue_TaiYai	235
11	27	Thai	236
11	27	Thai	237
11	27	Thai	239
11	27	Thai	240
11	27	Thai	243
11	27	Thai	244
11	27	Thai	245
11	27	Thai	249
11	27	Thai	250
11	27	Thai	253
11	27	Thai	255
11	27	Thai	256
11	27	Thai	258
11	27	Thai	259
11	27	Thai	260
11	27	Thai	261
11	27	Thai	263
11	27	Thai	265
11	27	Thai	266
11	27	Thai	270
11	27	Thai	271
11	27	Thai	275
11	27	Thai	277
11	27	Thai	279
11	27	Thai	280
11	27	Thai	281
11	27	Thai	285
11	27	Thai	289
11	27	Thai	290
11	27	Thai	291
11	27	Thai	293
11	27	Thai	295
11	27	Thai	297
11	27	Thai	298
11	27	Thai	299
11	27	Thai	301
11	27	Thai	302
11	27	Thai	303
11	27	Thai	304
11	27	Thai	305
11	27	Thai	309
11	27	Thai	313
11	27	Thai	314
11	27	Thai	315
11	27	Thai	316
11	27	Thai	317
11	27	Thai	318
11	27	Thai	321
11	27	Thai	322
11	27	Thai	324
11	27	Thai	325
11	27	Thai	328
11	27	Thai	329
11	27	Thai	331
11	27	Thai	332
11	27	Thai	333
11	27	Thai	334
11	27	TaiLue_TaiYai	337
11	27	Thai	340
11	27	Thai	341
11	27	Thai	342
11	27	Thai	344
11	27	Thai	345
11	27	Thai	348
11	27	Thai	352
11	27	Thai	353
11	27	Thai	354
11	27	Thai	355
11	27	Thai	356
11	27	Thai	357
11	27	Thai	359
11	27	Thai	360
11	27	Thai	361
11	27	TaiLue_TaiYai	365
11	27	Thai	366
11	27	Thai	367
11	27	Thai	368
11	27	Thai	369
11	27	Thai	371
11	27	Thai	375
11	27	Thai	377
11	27	Thai	378
11	27	Thai	379
11	27	Thai	381
11	27	Thai	382
11	27	Thai	385
11	27	Thai	387
11	27	Thai	390
11	27	Thai	391
11	27	Thai	393
11	27	Thai	396
11	27	Thai	398
11	27	Thai	399
11	27	Thai	400
11	27	Thai	402
11	27	Thai	403
11	27	Thai	404
11	27	TaiLue_TaiYai	408
11	27	Thai	409
11	27	Thai	411
11	27	Thai	412
11	27	Thai	413
11	27	Thai	415
11	27	Thai	417
11	27	Thai	418
11	27	Thai	420
11	27	Thai	424
11	27	Thai	425
11	27	Thai	427
11	27	Thai	430
11	27	Thai	432
11	27	Thai	435
11	27	Thai	437
11	27	Thai	438
11	27	Thai	439
11	27	Thai	441
11	27	Thai	442
11	27	Thai	445
11	27	Thai	446
11	27	Thai	447
11	27	Thai	449
11	27	TaiLue_TaiYai	451
11	27	Thai	452
11	27	Thai	453
11	27	Thai	454
11	27	Thai	455
11	27	TaiLue_TaiYai	456
11	27	Thai	457
11	27	Thai	459
11	27	Thai	461
11	27	Thai	464
11	27	Thai	465
11	27	Thai	468
11	27	Thai	469
11	27	Thai	471
11	27	Thai	474
11	27	Thai	475
11	27	Thai	480
11	27	Thai	481
11	27	Thai	487
11	27	Thai	489
11	27	Thai	491
11	27	Thai	493
11	27	Thai	494
11	27	Thai	495
11	27	Thai	496
11	27	Thai	500
11	27	Thai	504
11	27	Thai	505
11	27	Thai	506
11	27	Thai	508
11	27	Thai	509
11	27	Thai	510
11	27	Thai	511
11	27	Thai	513
11	27	Thai	516
11	27	Thai	519
11	27	Thai	522
11	27	Thai	523
11	27	TaiLue_TaiYai	528
11	27	Thai	529
11	27	Thai	530
11	27	Thai	533
11	27	Thai	535
11	27	Thai	536
11	27	TaiLue_TaiYai	539
11	27	Thai	540
11	27	Thai	541
11	27	Thai	542
11	27	Thai	544
11	27	Thai	548
11	27	Thai	549
11	27	Thai	550
11	27	Thai	551
11	27	TaiLue_TaiYai	555
11	27	Thai	556
11	27	Thai	559
11	27	Thai	560
11	27	Thai	563
11	27	Chinese	566
11	27	Thai	567
11	27	Thai	568
11	27	Yao	569
11	27	Thai	570
11	27	Thai	571
11	27	Thai	574
11	27	Thai	577
11	27	Thai	579
11	27	Thai	582
11	27	Thai	585
11	27	Thai	589
11	27	Thai	591
11	27	Thai	593
11	27	Thai	599
11	27	Thai	601
11	27	Burmese	603
11	27	Thai	604
11	27	Thai	606
11	27	Thai	607
11	27	Thai	609
11	27	Thai	610
11	27	Thai	611
11	27	TaiLue	614
11	27	Thai	622
11	27	Thai	624
11	27	Thai	627
11	27	Thai	630
11	27	Thai	632
11	27	Thai	635
11	27	Thai	638
11	27	Thai	639
11	27	Thai	642
11	27	Thai	643
11	27	Thai	644
11	27	Thai	646
11	27	Thai	649
11	27	TaiLue	652
11	27	Thai	656
11	27	Thai	659
11	27	Thai	661
11	27	Thai	670
11	27	Thai	671
11	27	TaiLue	672
11	27	Thai	673
11	27	Thai	674
11	27	Thai	680
11	27	Akha	681
11	27	Thai	683
11	27	Thai	684
11	27	Thai	689
11	27	Thai	690
11	27	TaiLue	692
11	27	Thai	696
11	27	Thai	702
11	27	Thai	708
11	27	Thai	712
11	27	Thai	715
11	27	Thai	721
11	27	Burmese	729
11	27	Thai	732
11	27	Thai	733
11	27	Thai	756
11	27	Thai	761
11	27	Thai	764
11	27	Thai	767
11	27	Thai	771
11	27	Thai	776
11	27	Akha	785
11	27	Akha	787
11	27	Lahu	790
11	27	Thai	791
11	27	Thai	794
11	27	Thai	796
11	27	Thai	797
11	27	Thai	798
11	27	Thai	799
11	27	Thai	801
11	27	Thai	803
11	27	Thai	806
11	27	Thai	808
11	27	Thai	809
11	27	Thai	811
11	27	Thai	812
11	27	Thai	815
11	27	Thai	816
11	27	Thai	820
11	27	Thai	822
11	27	Thai	824
11	27	Thai	825
11	27	Thai	826
11	27	Thai	828
11	27	Thai	829
11	27	Lao	830
11	27	Thai	838
11	27	Thai	840
11	27	Thai	841
11	27	Burmese	842
11	27	Thai	846
11	27	Thai	847
11	27	Thai	851
11	27	Thai	852
11	27	Thai	853
11	27	Thai	860
11	27	Thai	861
11	27	Thai	863
11	27	Thai	870
11	27	Thai	871
11	27	Thai	876
11	27	Burmese	880
11	27	TaiLue	889
11	27	Thai	892
11	27	Thai	893
11	27	Thai	896
11	27	Thai	897
11	27	Thai	898
11	27	Thai	899
11	27	Thai	900
11	27	Thai	903
11	27	Thai	907
11	27	Thai	909
11	27	Thai	910
11	27	Thai	913
11	27	Thai	916
11	27	Thai	917
11	27	Thai	918
11	27	Thai	920
11	27	Thai	921
11	27	Thai	922
11	27	Thai	928
11	27	Thai	930
11	27	Thai	931
11	27	Thai	932
11	27	Thai	933
11	27	Thai	935
11	27	Thai	936
11	27	Thai	937
11	27	Thai	939
11	27	Thai	950
11	27	Thai	951
